CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Age Group,Estimated Savings (k$),Credit Score,Loyalty Years,Preferred Category
104,Male,26,62,55,26-35,39.27,835,5,Fashion
105,Male,49,62,56,36-50,38.85,818,7,Electronics
106,Female,21,62,42,18-25,44.64,850,4,Fashion
107,Female,66,63,50,65+,42.0,850,9,Electronics
108,Male,54,63,46,51-65,43.68,850,7,Electronics
109,Male,68,63,43,65+,44.94,850,8,Electronics
110,Male,66,63,48,65+,42.84,850,9,Electronics
111,Male,65,63,52,51-65,41.16,828,9,Electronics
112,Female,19,63,54,18-25,40.32,850,4,Fashion
113,Female,38,64,42,36-50,46.08,850,5,Electronics
114,Male,19,64,46,18-25,44.37,850,4,Fashion
115,Female,18,65,48,,44.2,850,4,Electronics
116,Female,19,65,50,18-25,43.33,850,4,Fashion
117,Female,63,65,43,51-65,46.37,850,8,Electronics
118,Female,49,65,59,36-50,39.43,850,7,Electronics
119,Female,51,67,43,51-65,47.79,850,7,Electronics
120,Female,50,67,57,36-50,41.54,850,7,Electronics
121,Male,27,67,56,26-35,41.99,850,5,Fashion
122,Female,38,67,40,36-50,49.13,850,5,Electronics
123,Female,40,69,58,36-50,42.32,850,6,Electronics
124,Male,39,69,91,36-50,27.14,725,8,Luxury
125,Female,23,70,29,18-25,56.47,850,3,Fashion
126,Female,31,70,77,26-35,34.07,771,6,Luxury
127,Male,43,71,35,36-50,54.43,850,6,Electronics
128,Male,40,71,95,36-50,26.03,756,8,Luxury
129,Male,59,71,11,51-65,65.79,850,6,Electronics
130,Male,38,71,75,36-50,35.5,818,7,Luxury
131,Male,47,71,9,36-50,66.74,850,5,Electronics
132,Male,39,71,75,36-50,35.5,832,7,Luxury
133,Female,25,72,34,18-25,55.68,850,4,Fashion
134,Female,31,72,71,26-35,37.92,850,6,Luxury
135,Male,20,73,5,18-25,70.57,850,2,Fashion
136,Female,29,73,88,26-35,30.17,776,7,Luxury
137,Female,44,73,7,36-50,69.59,850,4,Electronics
138,Male,32,73,73,26-35,37.47,850,6,Luxury
139,Male,19,74,10,18-25,69.07,850,2,Fashion
140,Female,35,74,72,26-35,38.48,850,7,Luxury
141,Female,57,75,5,51-65,72.5,850,5,Electronics
142,Male,32,75,93,26-35,28.5,799,7,Luxury
143,Female,28,76,40,26-35,55.73,850,4,Fashion
144,Female,32,76,87,26-35,31.92,821,7,Luxury
145,Male,25,77,12,18-25,70.84,850,3,Fashion
146,Male,28,77,97,26-35,27.21,737,7,Luxury
147,Male,48,77,36,36-50,58.52,850,6,Electronics
148,Female,32,77,74,26-35,39.01,850,6,Luxury
149,Female,34,78,22,26-35,66.56,850,4,Fashion
150,Male,34,78,90,26-35,31.2,793,7,Luxury
151,Male,43,78,17,36-50,69.16,850,5,Electronics
152,Male,39,78,88,36-50,32.24,798,8,Luxury
153,Female,44,78,20,36-50,67.6,850,5,Electronics
154,Female,38,78,76,36-50,38.48,850,7,Luxury
155,Female,47,78,16,36-50,69.68,850,5,Electronics
156,Female,27,78,89,26-35,31.72,826,7,Luxury
157,Male,37,78,1,36-50,77.48,850,3,Electronics
158,Female,30,78,78,26-35,37.44,850,6,Luxury
159,Male,34,78,1,26-35,77.48,850,3,Fashion
160,Female,30,78,73,26-35,40.04,850,6,Luxury
161,Female,56,79,35,51-65,60.57,850,7,Electronics
162,Female,29,79,83,26-35,35.29,850,7,Luxury
163,Male,19,81,5,18-25,78.3,850,2,Fashion
164,Female,31,81,93,26-35,30.78,850,7,Luxury
165,Male,50,85,26,36-50,70.27,850,6,Electronics
166,Female,36,85,75,36-50,42.5,850,7,Luxury
167,Male,42,86,20,36-50,74.53,850,5,Electronics
168,Female,33,86,95,26-35,31.53,850,8,Luxury
169,Female,36,87,27,36-50,71.34,850,4,Electronics
170,Male,32,87,63,26-35,50.46,850,6,Fashion
171,Male,40,87,13,36-50,79.46,850,4,Electronics
172,Male,28,87,75,26-35,43.5,850,6,Luxury
173,Male,36,87,10,36-50,81.2,850,4,Electronics
174,Male,36,87,92,36-50,33.64,850,8,Luxury
175,Female,52,88,13,51-65,80.37,850,5,Electronics
176,Female,30,88,86,26-35,37.55,850,7,Luxury
177,Male,58,88,15,51-65,79.2,850,6,Electronics
178,Male,27,88,69,26-35,47.52,850,6,Fashion
179,Male,59,93,14,51-65,84.32,850,6,Electronics
180,Male,35,93,90,26-35,37.2,850,8,Luxury
181,Female,37,97,32,36-50,76.31,850,5,Electronics
182,Female,32,97,86,26-35,41.39,850,7,Luxury
183,Male,46,98,15,36-50,88.2,850,5,Electronics
184,Female,29,98,88,26-35,40.51,850,7,Luxury
185,Female,41,99,39,36-50,73.26,850,6,Electronics
186,Male,30,99,97,26-35,34.98,850,7,Luxury
187,Female,54,101,24,51-65,84.84,850,6,Electronics
188,Male,28,101,68,26-35,55.21,850,6,Fashion
189,Female,41,103,17,36-50,91.33,850,4,Electronics
190,Female,36,103,85,36-50,44.63,850,7,Luxury
191,Female,34,103,23,26-35,87.21,850,4,Fashion
192,Female,32,103,69,26-35,55.62,850,6,Fashion
193,Male,33,113,8,26-35,106.97,850,3,Fashion
194,Female,38,113,91,36-50,44.45,850,8,Luxury
195,Female,47,120,16,36-50,107.2,850,5,Electronics
196,Female,35,120,79,26-35,56.8,850,7,Luxury
197,Female,45,126,28,36-50,102.48,850,5,Electronics
198,Male,32,126,74,26-35,63.84,850,6,Luxury
199,Male,32,137,18,26-35,120.56,850,4,Fashion
200,Male,30,137,83,26-35,61.19,850,7,Luxury
